imdb_id,original_title,tags
tt9248940,Dream Girl,comedy romance rom-com movie directed by raaj shaandilyaa stars ayushmann khurrana who plays a 'dream girl'. in every love story there is always one trying to win the heart of the other who could be the 'dream girl'. ayushmannkhurrana nushratbharucha annukapoor rajbhansali manjotsingh 
tt8144834,Section 375,crime drama a celebrated bollywood director rohan khurana stands accused by a female member of his crew anjali dangle of having raped her at his residence. akshayekhanna richachadha meerachopra rahulbhat shriswara kishorekadam kruttikadesai sandhyamridul shrikantyadav vibhawarideshpande shamanivane rajendrashisatkar annuupchoudhari shahnaazdeshpande 
tt8304386,The Zoya Factor,comedy drama romance based anuja chauhan's novel zoya factor is a rom-com about zoya an advertising agent and her relationship with the captain of team india nikhil khoda. sonamkapoor dulquersalmaan sanjaykapoor 
tt6978954,Pal Pal Dil Ke Paas,action drama romance when video blogger saher sethi embarks on a tedious trek with mountaineer karan sehgal sparks are bound to fly. but will their love story blossom despite the odds? karandeol sahherbambba simonesingh sachinkhedekar 
tt8706884,Prassthanam,action drama a rural politician marries a widow with kids and gains a respectable position and trusts his stepson more than his own in political matters; thus upsetting his son beyond limits. sanjaydutt jackieshroff alifazal manishakoirala chunkypandey satyajeetdubey amyradastur 
tt10816510,P Se Pyaar F Se Faraar,crime drama romance in mathura the ancient city immortalized by the legendary love of lord krishna and radha two college going kids belonging to different class and caste strata of the north indian society fall in love. the kind of turbulent and violent reactions that follow between the communities of the said lovers makes the revered city of love turn into the city of extreme hate. the questions are will a modern day krishna arise within the warring clans and what all he can do to restore the sanity and sanctity of love. the film is a statement against hate crimes which are taking massive tolls on numerous talented youth of this country. bhaveshkumar jimmysheirgill kumudmishra sanjaymishra girishkulkarni zakirhussain brijendrakala akhilendramishra asifbasra nehajoshi 
tt9378950,Ghost,horror thriller the story of the film follows karan khanna a politician of indian origin in the united kingdom who is accused of killing his wife. he tells his lawyer that a spirit committed the murder and should be tried. sanayairani shivambhaargava vikrambhatt ameetchana ananyasengupta carolinewilde monishahassen 
tt9420648,Bala,comedy focuses on a young man gaurav rawat aka bala (ayushmann khurrana) plagued with premature baldness and the way he copes with the situation. revolving around his everyday struggle due to hair loss the film also explores bala's relationship with the two women in his life played by yami gautam and bhumi pednekar. ayushmannkhurrana bhumipednekar yamigautam javedjaffrey saurabhshukla sunitarajwar seemabhargava abhishekbanerjee deepikachikhalia manojpahwa sachinchaudhary 
tt11007050,#Yaaram,comedy romance all set for an arranged marriage rohit bajaj is faced with a rather strange request from his muslim friend sahil. as per halala he convinces rohit to get hitched to his ex-wife just for him to remarry her. this twisted tale of love turns into a sour dose of betrayal - all this and more in the name of friendship. siddhanthkapoor prateik anitaraj ishitaraj subharajput natashastankovic 
tt7721946,Housefull 4,action comedy fantasy in 1419 sitamgarh 3 couples are parted away due to an evil conspiracy. 600 hundred years later in 2019 in london the couples's reincarnations meet again but this time each one of them is marrying the wrong person. how they come to realize about their true love is what forms the crux of the story. akshaykumar riteishdeshmukh bobbydeol kritisanon poojahegde kritikharbanda ranadaggubati sammyjohnheaney sharadkelkar aakashdabhade chunkypandey ranjeet johnnylever saurabhsachdeva 
tt8108206,Saand Ki Aankh,biography drama both over the age of 60 chandro tomar and prakashi tomar inspire other women in india when they demonstrate their expert sharpshooting skills. taapseepannu bhumipednekar prakashjha viineetkumar pawanchopra 
tt8983180,Made in China,comedy drama story of failed gujarati businessman who jumps into unknown world of china to get once in a life time business idea which will change his life. rajkummarrao mouniroy bomanirani pareshrawal gajrajrao sumeetvyas amyradastur 
